t	rollEr	q	u
5.14947795868	10.69	-172.777720313	-5.1833316094
5.15948915482	9.03	-165.814351989	-4.97443055966
5.16923213005	7.51	-156.009839227	-4.6802951768
5.1792280674	6.12	-139.056493822	-4.17169481467
5.18932414055	4.86	-124.800997497	-3.7440299249
5.19924998283	3.73	-113.84424289	-3.4153272867
5.20920395851	2.53	-120.554845509	-3.61664536527
5.21918296814	1.2	-133.279759169	-3.99839277506
5.2291200161	-0.38	-159.000943401	-4.77002830202
5.23948693275	-2.19	-174.593860448	-5.23781581344
5.24950194359	-4.09	-189.715221635	-5.69145664905
5.25947713852	-5.81	-172.427708119	-5.17283124358
5.26947903633	-7.25	-143.972676694	-4.31918030083
5.27949500084	-8.42	-116.813512973	-3.50440538919
5.28946399689	-9.36	-94.2923435295	-2.82877030589
5.29944705963	-10.16	-80.1357279327	-2.40407183798
5.30974507332	-10.98	-79.6270062279	-2.38881018684
5.31975793839	-11.99	-100.870229778	-3.02610689335
5.32975506783	-13.21	-122.035030884	-3.66105092652
5.33974814415	-14.49	-128.088684449	-3.84266053347
5.34974813461	-15.69	-120.000114441	-3.60000343323
5.35973310471	-16.66	-97.1460095511	-2.91438028653
5.36972403526	-17.39	-73.0662670326	-2.19198801098
5.3797121048	-17.97	-58.0692793545	-1.74207838064
5.38974714279	-18.52	-54.8079638869	-1.64423891661
5.39975714684	-19.11	-58.9410351316	-1.76823105395
5.40975999832	-19.76	-64.9814706233	-1.9494441187
5.41977214813	-20.43	-66.9186950517	-2.00756085155
5.42975902557	-21.1	-67.0880366692	-2.01264110008
5.4397649765	-21.71	-60.9637209302	-1.82891162791
5.44974398613	-22.34	-63.1325175009	-1.89397552503
5.45972299576	-23.03	-69.1451382153	-2.07435414646
5.46974897385	-23.73	-69.8186245601	-2.0945587368
5.47975993156	-24.37	-63.9299473672	-1.91789842102
5.48987007141	-24.92	-54.4008300908	-1.63202490272
5.49975609779	-25.39	-47.5418516821	-1.42625555046
5.50975704193	-25.87	-47.9954685675	-1.43986405702
5.51978898048	-26.46	-58.8121624641	-1.76436487392
5.52974200249	-27.13	-67.3162382025	-2.01948714607
5.53973793983	-27.79	-66.0268244049	-1.98080473215
5.55055594444	-28.36	-52.6899387314	-1.58069816194
5.55987095833	-28.84	-51.5297138469	-1.54589141541
5.56985116005	-29.22	-38.0753827043	-1.14226148113
5.57978510857	-29.58	-36.2393663899	-1.0871809917
5.58979415894	-29.97	-38.9647354756	-1.16894206427
5.59978699684	-30.35	-38.0272354639	-1.14081706392
5.60977196693	-30.69	-34.0511786055	-1.02153535817
5.61975502968	-30.99	-30.0508979748	-0.901526939243
5.62971305847	-31.24	-25.1053702684	-0.753161108052
5.64122009277	-31.43	-16.5116393171	-0.495349179513
5.65041303635	-31.61	-19.5802354894	-0.587407064682
5.65982604027	-31.77	-16.9977619614	-0.509932858843
5.66979503632	-31.93	-16.0497606008	-0.481492818023
5.67976713181	-32.1	-17.0475704107	-0.511427112322
5.68975496292	-32.26	-16.0194939368	-0.480584818104
5.69975113869	-32.39	-13.0049734062	-0.390149202185
5.70971703529	-32.49	-10.0342200957	-0.301026602871
5.71979212761	-32.54	-4.96273368356	-0.148882010507
5.72977399826	-32.59	-5.00908113789	-0.150272434137
5.73977303505	-32.65	-6.00057798231	-0.180017339469
5.74973106384	-32.72	-7.02950367515	-0.210885110255
5.75975608826	-32.77	-4.98751902588	-0.149625570776
5.76976799965	-32.8	-2.99643083371	-0.0898929250113
5.77972412109	-32.85	-5.02203596829	-0.150661079049
5.78983998299	-32.95	-9.88546512998	-0.296563953899
5.79977107048	-32.99	-4.02775627791	-0.120832688337
5.80977606773	-32.96	2.99850157278	0.0899550471833
5.81974697113	-32.86	10.0291815117	0.30087544535
5.83006000519	-32.69	16.4839948215	0.494519844646
5.83993792534	-32.45	24.2966126813	0.72889838044
5.8498570919	-32.14	31.2526257091	0.937578771272
5.85980200768	-31.69	45.2492520138	1.35747756041
5.86975908279	-31.07	62.267281565	1.86801844695
5.87983894348	-30.27	79.3661762619	2.38098528786
5.88978099823	-29.25	102.594486331	3.07783458993
5.89980506897	-28.0	124.699838265	3.74099514794
5.90979194641	-26.44	156.204980901	4.68614942704
5.91981697083	-24.54	189.525722983	5.6857716895
5.92981100082	-22.44	210.125444916	6.30376334749
5.9399960041	-20.43	197.348979143	5.92046937428
5.94978404045	-18.61	185.941279291	5.57823837872
5.95975708961	-16.99	162.437783409	4.87313350227
5.96978402138	-15.49	149.597108617	4.48791325851
5.97979593277	-14.07	141.831059462	4.25493178387
5.98980593681	-12.66	140.859083959	4.22577251876
5.99977207184	-11.26	140.475720677	4.2142716203
6.00979399681	-9.79	146.678407993	4.4003522398
6.01951599121	-8.23	160.46090296	4.8138270888
6.02951812744	-6.51	171.963264683	5.1588979405
6.03950810432	-4.54	197.197653517	5.9159296055
6.04946899414	-2.23	231.906992508	6.95720977525
6.05941915512	0.3	254.267243015	7.62801729046
6.06914401054	2.9	267.356159749	8.02068479247
6.07926011086	5.37	244.165234033	7.32495702098
6.08939909935	7.58	217.970461365	6.53911384094
6.09926915169	9.54	198.580507271	5.95741521813
6.1095700264	11.29	169.888485129	5.09665455387
6.11956715584	12.82	153.043932174	4.59131796523
6.12949609756	14.39	158.123598991	4.74370796974
6.1394431591	16.08	169.899421395	5.09698264184
6.14953994751	17.86	176.293681551	5.28881044653
6.15951800346	19.69	183.4024592	5.50207377601
6.1695420742	21.52	182.560563219	5.47681689658
6.17953395844	23.28	176.142953542	5.28428860627
